# Fixture Sintético 001 — Layout A (QTD / DESCRIÇÃO / TOTAL)
# Baseado em: Orçamento de oficina de moto (documento real anonimizado)
# PII removida: nome da oficina substituído, cliente removido

OFICINA DE MOTOS EXEMPLO
Orcamento N 1366

2 RETENTOR GARFO COM GUARDA PO R$ 750,00
2 OLEO SUSPENSAO MOTOREX R$ 450,00
1 REPARO PINCA FREIO BORRACHAS R$ 139,00
1 LATA SUPORTE PASTILHA FREIO R$ 120,00
1 CONTRA PINO R$ 3,00
1 KIT TRANSMISSAO R$ 695,00
2 COXIM SUPORTE ESCAPE BETA 2T R$ 360,00
1 DESCARBONIZANTE CAR80 R$ 45,00
1 TAMPA DO RADIADOR TWINAIR 2.0 R$ 299,00
15 ABRACADEIRAS R$ 15,00
1 ADITIVO RADIADOR R$ 95,00
1 FLUIDO FREIO E EMBREAGEM R$ 100,00
1 PROTETORES DE BENGALA (PAR) R$ 350,00
2 ANEL VEDACAO ESCAPE BETA 2T R$ 120,00
1 PAR ANEL VEDACAO CABECOTE BETA 2T R$ 170,00
1 MEMBRANA DE EMBREAGEM R$ 100,00
1 BATERIA DO PAINEL R$ 40,00
4 ABRACADEIRAS ACO R$ 48,00
1 MDO TROCA OLEO SUSPENSAO DIANTEIRA R$ 400,00
1 MDO TROCA OLEO SUSPENSAO TRASEIRA R$ 350,00
1 MDO REVISAO GERAL R$ 1.000,00

VALOR TOTAL R$ 5.649,00

# RESULTADO ESPERADO (sem ruído de OCR — texto limpo)
# itens: 21
# soma: 5649.00
# layout: A
